number,value,datetime_start,datetime_complete,duration,params_m,params_s,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.509523869726969,2023-03-11 20:30:09.277581,2023-03-11 20:40:53.114010,0 days 00:10:43.836429,0.499816047538945,49.112857515378494,,,COMPLETE
1,0.9720686300941136,2023-03-11 20:40:53.204786,2023-03-11 20:53:34.220790,0 days 00:12:41.016004,0.642797576724562,42.77585271554666,0.9844542612200198,,COMPLETE
2,0.9981132325918779,2023-03-11 20:53:34.268191,2023-03-11 21:02:35.426512,0 days 00:09:01.158321,0.4124074561769746,34.807901366051645,0.9946875494459401,0.9992640381274016,COMPLETE
3,0.9993772620740143,2023-03-11 21:02:35.448144,2023-03-11 21:11:07.629738,0 days 00:08:32.181594,0.3732334448672798,47.591170623948834,0.9977355055187059,0.9998301604519719,COMPLETE
4,0.9999660300171893,2023-03-11 21:11:07.651490,2023-03-11 21:19:44.292818,0 days 00:08:36.641328,0.5904460046972835,44.745306400328815,0.9998301604519719,0.9999999974084937,COMPLETE
5,0.9999999974084937,2023-03-11 21:19:44.313435,2023-03-11 21:28:19.529591,0 days 00:08:35.216156,0.358233797718321,49.458377338915895,0.9999999974084937,0.9999999974084937,COMPLETE
6,0.9999999974084937,2023-03-11 21:28:19.549707,2023-03-11 21:37:02.221738,0 days 00:08:42.672031,0.6829770563201687,35.82210399220897,0.9999999974084937,,COMPLETE
7,,2023-03-11 21:37:02.256494,2023-03-11 21:40:31.266505,0 days 00:03:29.010011,0.42272998688284025,35.30128117736181,0.9998301604519719,,FAIL
8,0.9999999974084937,2023-03-11 21:40:31.288138,2023-03-11 21:49:09.973803,0 days 00:08:38.685665,0.4716968971838151,41.44561576938028,0.9999999974084937,,COMPLETE
9,0.9999999974084937,2023-03-11 21:49:09.993254,2023-03-11 21:57:47.063515,0 days 00:08:37.070261,0.5227780074568463,37.242124523564755,0.9999999974084937,,COMPLETE
